,start,end,content,wordcount
83,305.889,309.976,"['that', 'it', 'does', 'not', 'say', '""', 'RSVP', '""', 'on', 'the', 'Statue', 'of', 'Liberty', '.']",14
84,312.187,313.98,"['Thank', 'you', 'very', 'much', '.']",5
85,320.57,321.904,"['Amber', ',', 'a', 'reply', '?']",5
86,321.989,324.323,"['Mr.', 'Hall', ',', 'how', 'can', 'l', 'answer', 'that', '?']",9
87,324.491,328.327,"['The', 'topic', 'is', 'Haiti', 'and', 'she', ""'s"", 'talking', 'about', 'some', 'little', 'party', '.']",13
88,328.495,331.664,"['Hello', '!', 'lt', 'was', 'his', '50th', 'birthday', '.']",8
89,332.29,336.46,"['Whatever', '.', 'lf', 'she', ""doesn't"", 'do', 'the', 'assignment', ',', 'l', ""can't"", 'do', 'mine', '.']",14
90,336.795,338.004,"['Ladies', '.']",2
91,338.755,341.924,"['So', ',', 'does', 'anyone', 'have', 'any', 'further', 'thoughts', 'on', 'Cher', ""'s"", 'oration', '?']",13
92,342.009,343.592,"['Elton', ',', 'comments', '?']",4
93,343.677,346.512,"['Yeah', ',', 'l', ""can't"", 'find', 'my', 'Cranberries', 'CD', '.', 'l', 'gotta', 'go', 'to', 'the', 'Quad']",15
94,346.596,349.89,"['-before', 'somebody', 'snags', 'it', '.', ""-l'm"", 'afraid', 'l', ""can't"", 'permit', 'that', '.']",12
95,350.1,352.977,"['-Any', 'further', 'insights', '?', '-l', 'had', 'an', 'insight', ',', 'Mr.', 'Hall', '.']",12
96,353.061,354.52,"[""l'm"", 'all', 'ears', '.']",4
97,354.771,358.274,"['Okay', '.', 'Like', ',', 'the', 'way', 'l', 'feel', 'about', 'the', 'Rolling', 'Stones']",12
98,358.817,361.819,"['is', 'the', 'way', 'my', 'kids', 'are', 'gonna', 'feel', 'about', 'Nine', 'lnch', 'Nails', ',']",13
99,361.903,364.196,"['so', 'l', 'really', ""shouldn't"", 'torment', 'my', 'mom', 'anymore', ',', 'huh', '?']",11
100,364.281,368.117,"['Yes', '.', 'Well', ',', 'it', ""'s"", 'a', 'little', 'off', 'the', 'subject', 'of', 'Haiti']",13
101,368.285,371.037,"['but', 'tolerance', 'is', 'always', 'a', 'good', 'lesson', '.']",8
102,371.121,374.248,"['-Thank', 'you', '.', '-Even', 'when', 'it', 'comes', 'out', 'of', 'nowhere', '.']",11
103,374.875,378.878,"['And', 'with', 'that', 'in', 'mind', ',', ""l'm"", 'going', 'to', 'distribute', 'your', 'report', 'cards', '.']",14
104,378.962,382.006,"['Now', ',', 'is', 'there', 'a', 'Christian', 'Stovitz', 'in', 'this', 'class', '?']",11
105,382.132,386.052,"['Mr.', 'Hall', ',', 'the', 'buzz', 'on', 'Christian', 'is', 'that', 'his', 'parents', 'have', 'joint', 'custody', ',']",15
106,386.136,389.597,"['so', ""he'll"", 'be', 'spending', 'one', 'semester', 'in', 'Chicago', 'and', 'one', 'semester', 'here', '.']",13
107,389.681,393.059,"['l', 'think', 'it', 'is', 'a', 'travesty', 'on', 'the', 'part', 'of', 'the', 'legal', 'profession', '.']",14
108,393.143,395.394,"['Thank', 'you', 'for', 'that', 'perspective', ',', 'Cher', '.']",8
109,401.318,404.904,"['Now', ',', 'could', 'all', 'conversations', 'please', 'come', 'to', 'a', 'halt', '?']",11
110,408.033,410.076,"['And', 'could', 'the', 'suicide', 'attempts']",5
111,410.16,412.995,"['please', 'be', 'postponed', 'till', 'the', 'next', 'period', '?']",8
112,415.29,418.501,"['Suddenly', ',', 'a', 'dark', 'cloud', 'settled', 'over', 'first', 'period', '.']",10
113,418.835,420.795,"['I', 'got', 'a', 'C', 'in', 'Debate', '?']",7
114,422.631,423.881,"['-De', '?', '-What', ""'s"", 'up', '?']",6
115,423.965,427.259,"['-Did', 'you', 'get', 'your', 'report', 'card', '?', '-Yeah', '.', ""I'm"", 'toast', '.', 'How', 'did', 'you', 'do', '?']",17
116,427.344,430.888,"['l', 'totally', 'choked', '.', 'My', 'father', 'is', 'gonna', 'go', 'ballistic', 'on', 'me', '.']",13
117,430.972,432.89,"['Mr.', 'Hall', 'was', 'way', 'harsh', '.']",6
118,433.433,435.101,"['He', 'gave', 'me', 'a', 'C-', '.']",6
119,435.185,438.854,"['He', 'gave', 'me', 'a', 'C', ',', 'which', 'drags', 'down', 'my', 'entire', 'average', '.']",13
120,439.147,440.564,"['-Bye', '.', ""-l'll"", 'call', 'you', ',', 'okay', '?']",8
121,440.649,441.649,"['Yeah', '.']",2
122,441.983,443.776,"[""Isn't"", 'my', 'house', 'classic', '?']",5
123,444.027,446.862,"['The', 'columns', 'date', 'all', 'the', 'way', 'back', 'to', '1972', '.']",10
124,448.323,451.784,"[""Wasn't"", 'my', 'mom', 'a', 'Betty', '?', 'She', 'died', 'when', 'I', 'was', 'just', 'a', 'baby', ',']",15
125,451.868,454.662,"['a', 'fluke', 'accident', 'during', 'a', 'routine', 'liposuction', '.']",8
126,454.746,458.29,"['I', ""don't"", 'remember', 'her', ',', 'but', 'I', 'like', 'to', 'pretend', 'she', 'still', 'watches', 'over', 'me', '.']",16
127,458.375,461.71,"['Ma', ',', '98', 'in', 'Geometry', '.', 'Pretty', 'groovy', ',', 'huh', '?']",11
128,464.381,465.464,"['Yuck', '.']",2
129,466.55,469.51,"['The', 'maudlin', 'music', 'of', 'the', 'university', 'station', '?']",8
130,473.849,476.559,"['What', 'is', 'it', 'about', 'college', 'and', 'crybaby', 'music', '?']",9
131,478.854,480.604,"['Who', ""'s"", 'watching', 'the', 'galleria', '?']",6
132,480.689,482.231,"['So', ',', 'the', 'flannel', 'shirt', 'deal', ',']",7
133,482.315,484.316,"['is', 'that', 'a', 'nod', 'to', 'the', 'crispy', 'Seattle', 'weather']",9
134,484.401,487.319,"['or', 'you', 'trying', 'to', 'stay', 'warm', 'in', 'front', 'of', 'the', 'refrigerator', '?']",12
135,487.404,489.738,"['Oh', ',', 'my', ',', ""you're"", 'filling', 'out', 'there', '.']",9
136,490.365,492.741,"['Wow', '.', 'Your', 'face', 'is', 'catching', 'up', 'with', 'your', 'mouth', '.']",11
137,492.826,495.119,"['-l', 'went', 'by', 'Dad', ""'s"", 'office', '.', '-He', 'is', 'not', 'your', 'dad', '.']",13
138,495.203,496.912,"['Why', ""don't"", 'you', 'torture', 'a', 'new', 'family', '?']",8
139,496.997,498.706,"['Just', 'because', 'my', 'mother', 'married', 'someone', 'else']",7
140,498.79,500.207,"[""doesn't"", 'mean', 'he', ""'s"", 'my', 'father', '.']",7
141,500.292,502.501,"['Actually', ',', 'Kato', ',', 'that', ""'s"", 'exactly', 'what', 'it', 'means', '.']",11
142,502.586,504.753,"['l', 'hope', ""you're"", 'not', 'thinking', 'of', 'staying', 'here', '.']",9
143,504.838,506.63,"['-l', 'sure', 'want', 'to', '.', ""-l'm"", 'sure', 'you', 'do', '.']",10
144,506.715,508.966,"['l', 'got', 'a', 'place', 'in', 'Westwood', 'near', 'school', '.']",9
145,509.05,510.968,"[""Shouldn't"", 'you', 'go', 'to', 'school', 'on', 'the', 'East', 'Coast', '?']",10
146,511.052,514.096,"['l', 'hear', 'girls', 'at', 'NYU', ""aren't"", 'at', 'all', 'particular', '.']",10
147,514.347,515.806,"[""You're"", 'funny', '.']",3
148,515.891,517.474,"['What', ""'s"", 'your', 'problem', ',', 'Beavis', '?']",7
149,517.684,519.894,"['.', '.', '.', 'infantry', 'furiously', 'trading', 'machine', 'gun', 'fire', '.']",10
150,519.978,522.771,"['You', 'just', 'got', 'here', 'and', 'already', ""you're"", 'playing', 'Couch', 'Commando', '.']",11
151,522.856,525.941,"['ln', 'some', 'parts', 'of', 'the', 'universe', ',', 'maybe', 'not', 'in', 'Contempo', 'Casual']",12
152,526.026,529.82,"['but', 'in', 'some', 'parts', ',', 'it', ""'s"", 'considered', 'cool', 'to', 'know', 'what', ""'s"", 'going', 'on', 'in', 'the', 'world', '.']",19
153,529.905,533.199,"['Thank', 'you', ',', 'Josh', '.', 'l', 'so', 'need', 'lessons', 'from', 'you', 'on', 'how', 'to', 'be', 'cool', '.']",17
154,533.283,535.993,"['Tell', 'me', 'that', 'part', 'about', 'Kenny', 'G', 'again', '.']",9
155,536.62,538.954,"['Come', 'on', ',', 'you', 'chuckleheads', ',', 'get', 'in', 'here', '.']",10
156,541.625,544.793,"['Josh', ',', 'are', 'you', 'still', 'growing', '?', 'You', 'look', 'taller', 'than', 'you', 'did', 'at', 'Easter', '.']",16
157,544.878,546.295,"['l', ""don't"", 'think', 'so', '.']",5
158,546.379,549.048,"[""-Doesn't"", 'he', 'look', 'bigger', '?', '-His', 'head', 'does', '.']",9
159,549.257,551.967,"['Josh', ',', 'have', 'you', 'given', 'any', 'thought', 'to', 'our', 'little', 'discussion']",11
160,552.052,553.093,"['about', 'corporate', 'law', '?']",4
161,553.178,556.388,"['Yeah', ',', 'but', 'l', 'think', ""l'd"", 'really', 'like', 'to', 'check', 'out', 'environmental', 'law', '.']",14
162,556.473,559.6,"['What', 'for', '?', 'You', 'want', 'to', 'have', 'a', 'miserable', ',', 'frustrating', 'life', '?']",13
163,559.684,562.061,"['Josh', 'will', 'have', 'that', 'no', 'matter', 'what', 'he', 'does', '.']",10
164,562.145,564.146,"['At', 'least', 'he', 'knows', 'what', 'he', 'wants', 'to', 'do']",9
165,564.231,568.108,"['and', 'he', ""'s"", 'in', 'a', 'good', 'college', '.', ""l'd"", 'like', 'to', 'see', 'you', 'have', 'a', 'little', 'bit', 'of', 'direction', '.']",20
166,568.193,571.07,"['-l', 'have', 'direction', '.', '-Yeah', '.', 'Towards', 'the', 'mall', '.']",10
167,571.404,573.239,"['Which', 'reminds', 'me', ',', 'where', ""'s"", 'your', 'report', 'card', '?']",10
168,573.323,575.783,"['-lt', ""'s"", 'not', 'ready', 'yet', '.', '-What', 'do', 'you', 'mean', ',', 'it', ""'s"", 'not', 'ready', 'yet', '?']",17
169,575.867,578.619,"['Well', ',', 'some', 'teachers', 'were', 'trying', 'to', 'lowball', 'me', ',', 'Daddy', '.']",12
170,578.703,581.163,"['And', 'l', 'know', 'how', 'you', 'say', 'never', 'accept', 'a', 'first', 'offer', ',']",12
171,581.248,585.167,"['so', 'l', 'figure', 'these', 'grades', 'are', 'just', 'a', 'jumping', 'off', 'point', 'to', 'start', 'negotiations', '.']",15
172,585.252,586.585,"['Very', 'good', '.']",3
173,586.878,588.045,"['Whose', 'is', 'that', '?']",4
174,588.171,589.171,"['De', '?']",2
175,589.256,591.257,"['Hello', '?', 'Yeah', ',', 'Jake', ',', 'what', '?']",8
176,591.675,592.883,"['No', ',', 'not', 'the', 'afternoon', '!']",6
177,592.968,594.385,"['You', 'are', 'such', 'a', 'brownnoser', '.']",6
178,594.469,597.221,"['And', 'you', 'are', 'such', 'a', 'superficial', 'space', 'cadet', '.']",9
179,597.305,600.182,"['What', 'makes', 'you', 'think', ""you'll"", 'get', 'teachers', 'to', 'change', 'your', 'grades', '?']",12
180,600.267,603.644,"['Only', 'the', 'fact', 'that', ""l've"", 'done', 'it', 'every', 'other', 'semester', '.']",11
181,606.231,609.817,"['I', 'told', 'my', 'P', '.', 'E', '.', 'teacher', 'an', 'evil', 'male', 'had', 'broken', 'my', 'heart', ',']",16
182,610.235,612.361,"['so', 'she', 'raised', 'my', 'C', 'to', 'a', 'B', '.']",9
183,612.445,613.612,"['-Miserable', '.', ""-They're"", 'horrible', '.']",5
184,613.697,615.739,"['-l', ""can't"", 'eat', ',', 'l', ""can't"", 'sleep', '.', ""-Don't"", 'feel', 'bad', '.', 'l', 'know', '.']",15
185,615.824,617.491,"['And', 'you', 'see', ',', ""they're"", 'all', 'like', 'that', '.']",9
186,618.326,621.495,"['Then', 'I', 'promised', 'Miss', 'Geist', ""I'd"", 'start', 'a', 'letter-writing', 'campaign']",10
187,621.579,624.331,"['to', 'my', 'congressman', 'about', 'violations', 'of', 'the', 'Clean', 'Air', 'Act', '.']",11
188,626.376,628.46,"['But', 'Mr.', 'Hall', 'was', 'totally', 'rigid', '.']",7
189,628.545,630.379,"['He', 'said', 'my', 'debates', 'were', 'unresearched']",6
190,630.463,632.506,"['unstructured', ',', 'and', 'unconvincing', '.']",5
191,633.174,634.466,"['As', 'if', '!']",3
192,637.262,640.806,"['I', 'felt', 'impotent', 'and', 'out', 'of', 'control', ',', 'which', 'I', 'really', 'hate', '.']",13
193,641.224,644.643,"['I', 'needed', 'to', 'find', 'sanctuary', 'in', 'a', 'place', 'where', 'I', 'could', 'gather', 'my', 'thoughts']",14
194,644.728,646.645,"['and', 'regain', 'my', 'strength', '.']",5
195,653.445,654.486,"['Dude', ',', 'what', ""'s"", 'wrong', '?']",6
196,654.571,656.864,"['Are', 'you', 'suffering', 'from', 'buyer', ""'s"", 'remorse', 'or', 'something', '?']",10
197,656.948,659.241,"['God', ',', 'no', ',', 'nothing', 'like', 'that', '.', 'lt', ""'s"", 'just', 'that']",12
198,659.326,663.078,"[""we've"", 'been', 'shopping', 'all', 'day', 'and', 'l', 'still', ""don't"", 'know', 'what', 'to', 'do', 'about', 'Mr.', 'Hall', '.']",17
199,663.163,666.081,"['l', 'tried', 'everything', 'to', 'convince', 'him', 'of', 'my', 'scholastic', 'aptitude']",10
200,666.166,667.833,"['but', 'l', 'was', 'brutally', 'rebuffed', '.']",6
201,667.917,670.711,"['Get', 'over', 'it', '.', 'He', ""'s"", 'a', 'miserable', 'little', 'man', 'who', 'wants', 'to', 'make']",14
202,670.795,672.755,"['everyone', 'else', 'miserable', ',', 'too', '.']",6
203,672.839,674.34,"['De', ',', 'that', ""'s"", 'it', '.']",6
204,674.424,678.344,"[""We've"", 'got', 'to', 'figure', 'out', 'a', 'way', 'to', 'make', 'Mr.', 'Hall', 'sublimely', 'happy', '.']",14
205,679.763,681.847,"['Here', ""'s"", 'the', '41', '1', 'on', 'Mr.', 'Hall', '.']",9
206,681.931,686.643,"['He', ""'s"", 'single', ',', 'he', ""'s"", '47', ',', 'and', 'he', 'earns', 'minor', 'ducats', 'at', 'a', 'thankless', 'job', '.']",18
207,687.27,690.439,"['What', 'that', 'man', 'needs', 'is', 'a', 'good', ',', 'healthy', 'boink', 'fest', '.']",12
208,690.94,694.526,"['Unfortunately', ',', 'there', 'was', 'a', 'major', 'babe', 'drought', 'in', 'my', 'school', '.']",12
209,694.611,698.489,"['The', 'evil', 'trolls', 'from', 'the', 'Math', 'Department', 'were', 'actually', 'married', '.']",11
210,699.741,700.991,"['Snickers', '.']",2
211,701.868,704.161,"['And', 'in', 'the', 'grand', 'tradition', 'of', 'P', '.', 'E', '.', 'teachers']",11
